X,Y,OBJECTID,Count_,Int_Number,Location
774921.6374,2933640.656,326,503,1242,Dorchester Ave. & Gibson St.  (Monitor #617)
762944.2831,2939540.356,327,60,1883,Amory St. & Minton St.
780814.2826,2950824.647,328,527,2249,"Dry Dock Ave., Pappas Way, & Summer St."
768340.5107,2945141.908,329,533,210,"Dudley St., Malcolm X Blvd., & Washington St."
772247.6986,2951496.659,330,62,560,Appleton St & Berkeley St
750781.1317,2954513.159,331,576,758,Faneuil St. & Market St.  (Monitor #4085)
774280.6437,2946719.007,332,598,9996,Frontage Rd. NB & Widett Circle
775067.2774,2945644.841,333,602,9988,"Frontage Rd., I-93 NB Off Ramp, & Southampton St."
775625.949,2954863.41,334,65,550,Arch St. & Franklin St.
771123.2297,2946022.05,335,619,2092,Hampden St. & Melnea Cass Blvd.  (Monitor #3140)
758603.2489,2931944.328,336,66,762,Archdale Rd. & Washington St.
776020.4757,2957317.614,337,621,4101,Hanover St. & Surface Rd. SB
774433.0726,2952210.409,338,629,1601,Harrison Ave. & Oak St.  (Monitor #299)
772214.3236,2953553.909,339,67,75,Arlington St. & Boylston St.
757924.0722,2918475.402,340,664,236,Hyde Park Ave. & River St. (Cleary Sq.)  (Monitor #4200)
772627.6353,2952163.409,341,68,1331,Arlington St. & Marginal Rd.
760710.6345,2934563.905,342,671,1759,"Hyde Park Ave., Forest Hills MBTA Station Busway Exit, & Tower St."
777231.012,2955805.91,343,672,2259,India St. & Surface Rd. SB
775727.0285,2954143.771,344,683,58,Lincoln St. & Summer St. (Church Green)
761628.1343,2949279.908,345,686,9012,Longwood Ave. & Riverway  (Monitor #9020)
749569.5034,2953629.909,346,69,391,Arlington St. & Parsons St.
766949.2807,2946187.431,347,692,2337,Malcolm X Blvd. @ #75 (Madison Park High)
767497.7603,2945778.408,348,693,2346,"Malcolm X Blvd., Roxbury St. Connector, & Shawmut Ave. Ext."
772108.0744,2928998.904,349,76,1346,Armandine St. & Washington St.
773265.8867,2944455.658,350,713,3104,"Massachusetts Ave., New Market Sq., & Shirley St."
752783.2574,2954410.409,351,77,3111,Arthur St. & North Beacon St.
777539.8996,2953064.69,352,719,1165,Melcher St. & Summer St.  (Monitor #2008)
776018.3243,2953041.409,353,81,44,Atlantic Ave. & Beach St.
767839.9505,2947635.156,354,721,3010,Melnea Cass Blvd. & Tremont St.  (Monitor #3098)
777196.2617,2956049.91,355,734,1052,Milk St. & Surface Rd. SB
775539.8863,2958441.165,356,760,332,"North Washington St., Thatcher St., & Valenti Way"
777460.6942,2957892.985,357,82,1963,Atlantic Ave. & Commercial Wharf
776248.2618,2953898.909,358,785,3012,"Purchase St., Ramp RR, Summer St., & Surface Rd. SB"
775543.7325,2955588.236,359,803,24,School St. & Washington St.  (BP)
775543.7325,2955588.236,360,804,954,School St. & Washington St.  (JP)
776838.6368,2954222.659,361,83,3056,Atlantic Ave. & Congress St.
772979.8238,2946192.408,362,815,891,"Southampton St., Theo A. Glynn Way, & Topeka St."
